year,city,country,avg_temp
1796,Agra,India,25.05
1797,Agra,India,26.71
1798,Agra,India,24.19
1799,Agra,India,25.31
1800,Agra,India,25.25
1801,Agra,India,24.11
1802,Agra,India,25.69
1803,Agra,India,25.44
1804,Agra,India,25.76
1805,Agra,India,25.35
1806,Agra,India,25.26
1807,Agra,India,24.86
1808,Agra,India,
1809,Agra,India,
1810,Agra,India,
1811,Agra,India,
1812,Agra,India,
1813,Agra,India,24.60
1814,Agra,India,23.71
1815,Agra,India,24.13
1816,Agra,India,23.77
1817,Agra,India,23.91
1818,Agra,India,24.32
1819,Agra,India,23.93
1820,Agra,India,24.15
1821,Agra,India,24.88
1822,Agra,India,24.98
1823,Agra,India,24.73
1824,Agra,India,25.35
1825,Agra,India,25.15
1826,Agra,India,25.17
1827,Agra,India,25.36
1828,Agra,India,24.95
1829,Agra,India,24.76
1830,Agra,India,25.08
1831,Agra,India,24.51
1832,Agra,India,24.72
1833,Agra,India,24.89
1834,Agra,India,24.84
1835,Agra,India,23.93
1836,Agra,India,24.61
1837,Agra,India,24.50
1838,Agra,India,24.48
1839,Agra,India,24.56
1840,Agra,India,24.79
1841,Agra,India,24.57
1842,Agra,India,24.79
1843,Agra,India,24.75
1844,Agra,India,24.39
1845,Agra,India,24.65
1846,Agra,India,25.15
1847,Agra,India,24.67
1848,Agra,India,24.52
1849,Agra,India,24.53
1850,Agra,India,24.86
1851,Agra,India,24.82
1852,Agra,India,24.67
1853,Agra,India,24.97
1854,Agra,India,25.08
1855,Agra,India,25.23
1856,Agra,India,23.84
1857,Agra,India,24.32
1858,Agra,India,
1859,Agra,India,
1860,Agra,India,
1861,Agra,India,
1862,Agra,India,
1863,Agra,India,
1864,Agra,India,
1865,Agra,India,27.27
1866,Agra,India,15.61
1867,Agra,India,20.43
1868,Agra,India,24.91
1869,Agra,India,25.06
1870,Agra,India,24.91
1871,Agra,India,24.95
1872,Agra,India,24.97
1873,Agra,India,25.08
1874,Agra,India,25.01
1875,Agra,India,25.39
1876,Agra,India,25.05
1877,Agra,India,25.30
1878,Agra,India,25.42
1879,Agra,India,24.79
1880,Agra,India,25.37
1881,Agra,India,24.93
1882,Agra,India,24.84
1883,Agra,India,24.87
1884,Agra,India,24.64
1885,Agra,India,24.49
1886,Agra,India,24.92
1887,Agra,India,24.87
1888,Agra,India,24.93
1889,Agra,India,25.32
1890,Agra,India,25.09
1891,Agra,India,24.72
1892,Agra,India,25.50
1893,Agra,India,23.92
1894,Agra,India,24.89
1895,Agra,India,25.20
1896,Agra,India,26.04
1897,Agra,India,25.67
1898,Agra,India,25.50
1899,Agra,India,25.73
1900,Agra,India,25.68
1901,Agra,India,25.55
